Region, Date, Frequency, Value
India, 01-03-2021, D,6.91
India, 02-03-2021, D,6.89
India, 03-03-2021, D,6.85
India, 04-03-2021, D,6.8
India, 05-03-2021, D,6.8
India, 06-03-2021, D,6.74
India, 07-03-2021, D,6.69
India, 08-03-2021, D,6.64
India, 09-03-2021, D,6.57
India, 10-03-2021, D,6.52
India, 11-03-2021, D,6.54
India, 12-03-2021, D,6.57
India, 13-03-2021, D,6.56
India, 14-03-2021, D,6.48
India, 15-03-2021, D,6.52
India, 16-03-2021, D,6.56
India, 17-03-2021, D,6.53
India, 18-03-2021, D,6.56
India, 19-03-2021, D,6.56
India, 20-03-2021, D,6.53
India, 21-03-2021, D,6.53
India, 22-03-2021, D,6.53
India, 23-03-2021, D,6.49
India, 24-03-2021, D,6.48
India, 25-03-2021, D,6.52
India, 26-03-2021, D,6.51
India, 27-03-2021, D,6.45
India, 28-03-2021, D,6.46
India, 29-03-2021, D,6.48
India, 30-03-2021, D,6.49
India, 31-03-2021, D,6.59
India, 01-04-2021, D,6.5
India, 02-04-2021, D,6.5
India, 03-04-2021, D,6.66
India, 04-04-2021, D,6.81
India, 05-04-2021, D,6.86
India, 06-04-2021, D,6.81
India, 07-04-2021, D,6.9
India, 08-04-2021, D,7.04
India, 09-04-2021, D,7
India, 10-04-2021, D,7.03
India, 11-04-2021, D,7.08
India, 12-04-2021, D,7.1
India, 13-04-2021, D,7.13
India, 14-04-2021, D,7.17
India, 15-04-2021, D,7.21
India, 16-04-2021, D,7.31
India, 17-04-2021, D,7.37
India, 18-04-2021, D,7.39
India, 19-04-2021, D,7.36
India, 20-04-2021, D,7.46
India, 21-04-2021, D,7.62
India, 22-04-2021, D,7.65
India, 23-04-2021, D,7.74
India, 24-04-2021, D,7.79
India, 25-04-2021, D,7.8
India, 26-04-2021, D,7.82
India, 27-04-2021, D,7.88
India, 28-04-2021, D,7.79
India, 29-04-2021, D,7.79
India, 30-04-2021, D,7.78
India, 01-05-2021, D,7.91
India, 02-05-2021, D,7.96
India, 03-05-2021, D,7.91
India, 04-05-2021, D,7.73
India, 05-05-2021, D,7.7
India, 06-05-2021, D,7.97
India, 07-05-2021, D,7.83
India, 08-05-2021, D,7.95
India, 09-05-2021, D,8.15
India, 10-05-2021, D,8.19
India, 11-05-2021, D,8.35
India, 12-05-2021, D,8.52
India, 13-05-2021, D,8.65
India, 14-05-2021, D,8.75
India, 15-05-2021, D,8.82
India, 16-05-2021, D,8.89
India, 17-05-2021, D,9.11
India, 18-05-2021, D,9.46
India, 19-05-2021, D,9.71
India, 20-05-2021, D,9.98
India, 21-05-2021, D,10.26
India, 22-05-2021, D,10.34
India, 23-05-2021, D,10.59
India, 24-05-2021, D,10.77
India, 25-05-2021, D,11.03
India, 26-05-2021, D,11.17
India, 27-05-2021, D,11.33
India, 28-05-2021, D,11.58
India, 29-05-2021, D,11.82
India, 30-05-2021, D,11.83
India, 31-05-2021, D,11.92
India, 01-06-2021, D,11.86
India, 02-06-2021, D,12.14
India, 03-06-2021, D,12.38
India, 04-06-2021, D,12.58
India, 05-06-2021, D,12.74
India, 06-06-2021, D,12.98
India, 07-06-2021, D,12.99
India, 08-06-2021, D,12.81
India, 09-06-2021, D,12.66
