Country,Confirmed ,Deaths,Recovered,Active,New cases,Deaths / 100 Cases ,Recovered / 100 Cases,Deaths / 100 Recovered ,Population,Cases / Million People ,Confirmed last week,1 week change,1 week % increase
Afghanistan,75119,3034,58070,14015,1093,4.04,77.3,5.22,38928341,1930,68366,6753,9.88
Albania,132360,2451,129566,343,9,1.85,97.89,1.89,2877800,45993,132264,96,0.07
Algeria,129976,3497,90517,35962,336,2.69,69.64,3.86,43851043,2964,127926,2050,1.6
Andorra,13752,127,13527,98,8,0.92,98.36,0.94,77265,177985,13682,70,0.51
Angola,35140,784,28646,5710,180,2.23,81.52,2.74,32866268,1069,33607,1533,4.56
Antigua and Barbuda,1262,42,1213,7,0,3.33,96.12,3.46,97928,12887,1258,4,0.32
Argentina,3884447,79873,3438437,366137,32291,2.06,88.52,2.32,45195777,85947,3663215,221232,6.04
Armenia,222978,4448,213813,4717,108,1.99,95.89,2.08,2963234,75248,222409,569,0.26
Australia,30141,910,23601,5630,4,3.02,78.3,3.86,50919400,592,30074,67,0.22
Austria,645834,10627,630731,4476,282,1.65,97.66,1.68,9006400,71708,643168,2666,0.41
Azerbaijan,334416,4929,325863,3624,128,1.47,97.44,1.51,10139175,32983,333317,1099,0.33
Bahamas,11930,232,10932,766,66,1.94,91.63,2.12,393248,30337,11622,308,2.65
Bahrain,246658,1050,219108,26500,1932,0.43,88.83,0.48,1701583,144958,229468,17190,7.49
Bangladesh,805980,12724,746035,47221,1687,1.58,92.56,1.71,164689383,4894,794985,10995,1.38
Barbados,4026,47,3922,57,3,1.17,97.42,1.2,287371,14010,4006,20,0.5
Belarus,396869,2882,388632,5355,879,0.73,97.92,0.74,9449321,42000,390203,6666,1.71
Belgium,1066957,24995,0,1041962,1599,2.34,0,8.13730158730159,23021022,46347,1055543,11414,1.08
Belize,12840,325,12434,81,7,2.53,96.84,2.61,397621,32292,12789,51,0.4
Benin,8082,102,7893,87,0,1.26,97.66,1.29,12123198,667,8058,24,0.3
Bhutan,1654,1,1327,326,15,0.06,80.23,0.08,771612,2144,1491,163,10.93
Bolivia,380457,14832,301160,64465,2429,3.9,79.16,4.92,11673029,32593,361580,18877,5.22
Bosnia and Herzegovina,204252,9332,175827,19093,80,4.57,86.08,5.31,3280815,62256,203762,490,0.24
Botswana,56217,866,52675,2676,1244,1.54,93.7,1.64,2351625,23906,53771,2446,4.55
Brazil,16803472,469388,14763694,1570390,83391,2.79,87.86,3.18,422706534,39752,16342162,461310,2.82
Brunei,244,3,231,10,0,1.23,94.67,1.3,437483,558,241,3,1.24
Bulgaria,419180,17792,385271,16117,170,4.24,91.91,4.62,6948445,60327,417819,1361,0.33
Burkina Faso,13446,167,13260,19,11,1.24,98.62,1.26,20903278,643,13421,25,0.19
Burma,143945,3221,132408,8316,122,2.24,91.99,2.43,54409800,2646,143414,531,0.37
Burundi,4844,6,773,4065,16,0.12,15.96,0.78,11890781,407,4650,194,4.17
Cabo Verde,30774,266,29125,1383,80,0.86,94.64,0.91,555988,55350,29939,835,2.79
Cambodia,32189,236,24763,7190,729,0.73,76.93,0.95,16718971,1925,27638,4551,16.47
Cameroon,78929,1275,35261,42393,0,1.62,44.67,3.62,26545864,2973,77982,947,1.21
Canada,1395336,25627,1342878,26831,2173,1.84,96.24,1.91,75750184,18420,1378993,16343,1.19
Central African Republic,7091,98,6859,134,0,1.38,96.73,1.43,4829764,1468,7083,8,0.11
Chad,4935,173,4747,15,0,3.51,96.19,3.64,16425859,300,4926,9,0.18
Chile,1403101,29598,1327643,45860,8128,2.11,94.62,2.23,36692988,38239,1352723,50378,3.72
China,103094,4846,97813,435,25,4.7,94.88,4.95,2809352660,37,102932,162,0.16
Colombia,3488046,90353,3242060,155633,28624,2.59,92.95,2.79,99141018,35183,3319193,168853,5.09
Comoros,3882,146,3726,10,0,3.76,95.98,3.92,869595,4464,3879,3,0.08
Congo (Brazzaville),11845,154,10591,1100,0,1.3,89.41,1.45,89561403,132,11658,187,1.6
Congo (Kinshasa),32177,789,27727,3661,243,2.45,86.17,2.85,5518087,5831,31279,898,2.87
Costa Rica,325779,4124,246686,74969,2181,1.27,75.72,1.67,5094114,63952,311922,13857,4.44
Cote d'Ivoire,47389,306,46847,236,33,0.65,98.86,0.65,26378274,1797,47146,243,0.52
Croatia,357109,8056,347108,1945,280,2.26,97.2,2.32,4105268,86988,355296,1813,0.51
Cuba,145567,985,138621,5961,1053,0.68,95.23,0.71,11326616,12852,137730,7837,5.69
Cyprus,72626,362,39061,33203,53,0.5,53.78,0.93,1207361,60153,72234,392,0.54
Czechia,1662608,30136,1622876,9596,352,1.81,97.61,1.86,10708981,155254,1659980,2628,0.16
Denmark,284888,2518,269659,12711,1036,0.88,94.65,0.93,5897840,48304,278136,6752,2.43
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,31197.8115183246,712,0,0
Djibouti,11544,154,11382,8,2,1.33,98.6,1.35,988002,11684,11523,21,0.18
Dominica,188,0,187,1,0,0,99.47,0,71991,2611,184,4,2.17
Dominican Republic,297119,3642,243235,50242,1439,1.23,81.86,1.5,10847904,27390,288034,9085,3.15
Ecuador,429817,20706,375151,33960,952,4.82,87.28,5.52,17643060,24362,422329,7488,1.77
Egypt,265489,15222,194291,55976,932,5.73,73.18,7.83,102334403,2594,258407,7082,2.74
El Salvador,74141,2260,69215,2666,439,3.05,93.36,3.27,6486201,11431,72821,1320,1.81
Equatorial Guinea,8572,118,8189,265,0,1.38,95.53,1.44,1402985,6110,8476,96,1.13
Eritrea,4145,14,3855,276,0,0.34,93,0.36,3546427,1169,4010,135,3.37
Estonia,129909,1260,124033,4616,105,0.97,95.48,1.02,1326539,97931,129158,751,0.58
Eswatini,18623,673,17886,64,5,3.61,96.04,3.76,1160164,16052,18582,41,0.22
Ethiopia,272285,4185,243378,24722,249,1.54,89.38,1.72,114963583,2368,270527,1758,0.65
Fiji,536,4,183,349,28,0.75,34.14,2.19,896444,598,314,222,70.7
Finland,92913,959,46000,45954,143,1.03,49.51,2.08,5540718,16769,92062,851,0.92
France,5755679,109990,394132,5251557,15684,1.91,6.85,27.91,68151730,84454,5697076,58603,1.03
Gabon,24429,152,22118,2159,0,0.62,90.54,0.69,2225728,10976,24252,177,0.73
Gambia,5995,179,5786,30,2,2.99,96.51,3.09,2416664,2481,5990,5,0.08
Georgia,346983,4853,330721,11409,833,1.4,95.31,1.47,3989175,86981,340838,6145,1.8
Germany,3701692,89031,3526110,86551,3688,2.41,95.26,2.52,166803158,22192,3673990,27702,0.75
Ghana,94011,785,92057,1169,0,0.84,97.92,0.85,31072945,3025,93723,288,0.31
Greece,406751,12184,93764,300803,1209,3,23.05,12.99,10423056,39024,396970,9781,2.46
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431,161,0,0
Guatemala,258633,8238,236469,13926,1466,3.19,91.43,3.48,17915567,14436,251336,7297,2.9
Guinea,23245,162,21266,1817,51,0.7,91.49,0.76,13132792,1770,23110,135,0.58
Guinea-Bissau,3784,68,3525,191,1,1.8,93.16,1.93,1967998,1923,3756,28,0.75
Guyana,17376,400,15073,1903,119,2.3,86.75,2.65,786559,22091,16654,722,4.34
Haiti,14931,321,12552,2058,220,2.15,84.07,2.56,11402533,1309,14037,894,6.37
Holy See,27,0,27,0,0,0,100,0,809,33375,27,0,0
Honduras,240382,6415,85881,148086,954,2.67,35.73,7.47,9904608,24270,235599,4783,2.03
Hungary,805302,29792,708198,67312,315,3.7,87.94,4.21,9660350,83362,803119,2183,0.27
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209,6555,0,0
India,28574350,340702,26597655,1635993,132364,1.19,93.08,1.28,2751341248,10386,27555457,1018893,3.7
Indonesia,1837126,51095,1691593,94438,5353,2.78,92.08,3.02,273523621,6717,1797499,39627,2.2
Iran,2945100,80658,2508907,355535,9657,2.74,85.19,3.21,83992953,35064,2875858,69242,2.41
Iraq,1214367,16462,1129221,68684,4262,1.36,92.99,1.46,40222503,30191,1186309,28058,2.37
Ireland,263252,4941,23364,234947,465,1.88,8.88,21.15,4937796,53314,254870,8382,3.29
Israel,839532,6416,832812,304,15,0.76,99.2,0.77,8655541,96994,839420,112,0.01
Italy,4225163,126342,3893259,205562,1963,2.99,92.14,3.25,120822834,34970,4205970,19193,0.46
Jamaica,48638,951,25485,22202,0,1.96,52.4,3.73,2961161,16425,48180,458,0.95
Japan,755713,13331,690467,51915,2848,1.76,91.37,1.93,252643406,2991,735234,20479,2.79
Jordan,738521,9500,719049,9972,633,1.29,97.36,1.32,10203140,72382,734039,4482,0.61
Kazakhstan,447275,3467,415073,28735,1513,0.78,92.8,0.84,18776707,23821,436931,10344,2.37
Kenya,171658,3223,117345,51090,432,1.88,68.36,2.75,53771300,3192,169697,1961,1.16
Kiribati,2,0,0,2,0,0,0,0,117606,17,2,0,0
"Korea, South",142852,1969,133289,7594,695,1.38,93.31,1.48,51269183,2786,138898,3954,2.85
Kosovo,107051,2248,103348,1455,12,2.1,96.54,2.18,1793000,59705,106928,123,0.12
Kuwait,313289,1783,297329,14177,1443,0.57,94.91,0.6,4270563,73360,304199,9090,2.99
Kyrgyzstan,105840,1830,99474,4536,371,1.73,93.99,1.84,6524191,16223,103583,2257,2.18
Laos,1943,3,1654,286,9,0.15,85.13,0.18,7275556,267,1895,48,2.53
Latvia,134162,2392,126999,4771,296,1.78,94.66,1.88,1886202,71128,132258,1904,1.44
Lebanon,541009,7747,521458,11804,165,1.43,96.39,1.49,6825442,79264,539590,1419,0.26
Lesotho,10836,326,6437,4073,5,3.01,59.4,5.06,2142252,5058,10824,12,0.11
Liberia,2219,86,2044,89,0,3.88,92.11,4.21,5057677,439,2174,45,2.07
Libya,186567,3132,172637,10798,244,1.68,92.53,1.81,6871287,27152,184472,2095,1.14
Liechtenstein,3017,58,2934,25,1,1.92,97.25,1.98,38137,79110,3006,11,0.37
Lithuania,275545,4289,257675,13581,347,1.56,93.51,1.66,2722291,101218,272826,2719,1
Luxembourg,70088,818,68484,786,61,1.17,97.71,1.19,625976,111966,69749,339,0.49
MS Zaandam,9,2,7,0,0,22.22,77.78,28.57,0,31197.8115183246,9,0,0
Madagascar,41488,850,40774,-136,69,2.05,98.28,2.08,27691019,1498,41102,386,0.94
Malawi,34365,1156,32641,568,5,3.36,94.98,3.54,19129955,1796,34304,61,0.18
Malaysia,595374,3096,508947,83331,8209,0.52,85.48,0.61,32365998,18395,541224,54150,10.01
Maldives,66516,173,43959,22384,648,0.26,66.09,0.39,540542,123054,60943,5573,9.14
Mali,14281,517,9757,4007,0,3.62,68.32,5.3,20250834,705,14259,22,0.15
Malta,30557,419,30062,76,4,1.37,98.38,1.39,441539,69206,30520,37,0.12
Marshall Islands,4,0,4,0,0,0,100,0,58413,68,4,0,0
Mauritania,19695,464,18614,617,45,2.36,94.51,2.49,4649660,4236,19344,351,1.81
Mauritius,1421,18,1198,205,3,1.27,84.31,1.5,1271767,1117,1341,80,5.97
Mexico,2426822,228362,1934541,263919,2894,9.41,79.71,11.8,255584572,9495,2405772,21050,0.87
Micronesia,1,0,1,0,0,0,100,0,113815,9,1,0,0
Moldova,255354,6125,247830,1399,69,2.4,97.05,2.47,4033963,63301,254985,369,0.14
Monaco,2508,33,2468,7,0,1.32,98.41,1.34,39244,63908,2503,5,0.2
Mongolia,62585,301,52812,9472,2213,0.48,84.38,0.57,3278292,19091,55852,6733,12.06
Montenegro,99717,1587,97429,701,34,1.59,97.71,1.63,628062,158769,99477,240,0.24
Morocco,520423,9165,508210,3048,395,1.76,97.65,1.8,36910558,14100,518122,2301,0.44
Mozambique,70965,837,69641,487,42,1.18,98.13,1.2,31255435,2270,70673,292,0.41
Namibia,56981,877,51177,4927,717,1.54,89.81,1.71,2540916,22425,53903,3078,5.71
Nepal,576936,7630,467467,101839,5825,1.32,81.03,1.63,29136808,19801,542256,34680,6.4
Netherlands,1684374,17932,26916,1639526,2765,1.06,1.6,66.62,34882427,48287,1664708,19666,1.18
New Zealand,2682,26,2639,17,1,0.97,98.4,0.99,4822233,556,2670,12,0.45
Nicaragua,7481,187,4225,3069,0,2.5,56.48,4.43,6624554,1129,7324,157,2.14
Niger,5416,192,5096,128,1,3.55,94.09,3.77,24206636,224,5406,10,0.18
Nigeria,166682,2117,162521,2044,122,1.27,97.5,1.3,399640130,417,166191,491,0.3
North Macedonia,155364,5435,148872,1057,19,3.5,95.82,3.65,2083380,74573,155169,195,0.13
Norway,126218,785,17998,107435,289,0.62,14.26,4.36,5421242,23282,124071,2147,1.73
Oman,220702,2385,202021,16296,1173,1.08,91.54,1.18,5106622,43219,213784,6918,3.24
Pakistan,928588,21105,856005,51478,1893,2.27,92.18,2.47,428724125,2166,913784,14804,1.62
Panama,380207,6388,367007,6812,701,1.68,96.53,1.74,4314768,88118,376237,3970,1.06
Papua New Guinea,16185,162,15408,615,275,1,95.2,1.05,8947027,1809,15415,770,5
Paraguay,364702,9498,299594,55610,3262,2.6,82.15,3.17,7132530,51132,345357,19345,5.6
Peru,1965432,184942,1918756,-138266,0,9.41,97.63,9.64,65597846,29962,1942054,23378,1.2
Philippines,1247899,21357,1170752,55790,7183,1.71,93.82,1.82,109581085,11388,1200430,47469,3.95
Poland,2874092,74075,2642127,157890,565,2.58,91.93,2.8,76257753,37689,2869652,4440,0.15
Portugal,851031,17029,810659,23343,769,2,95.26,2.1,10196707,83461,847006,4025,0.48
Qatar,218080,563,214377,3140,198,0.26,98.3,0.26,2881060,75694,216683,1397,0.64
Romania,1078338,30499,1041256,6583,196,2.83,96.56,2.93,19237682,56053,1076840,1498,0.14
Russia,5040390,120604,4657460,262326,8807,2.39,92.4,2.59,292579178,17227,4977332,63058,1.27
Rwanda,27119,358,26028,733,55,1.32,95.98,1.38,12952209,2094,26843,276,1.03
Saint Kitts and Nevis,75,0,48,27,2,0,64,0,53109,1412,64,11,17.19
Saint Lucia,5102,80,4867,155,30,1.57,95.39,1.64,183629,27784,5002,100,2
Saint Vincent and the Grenadines,2044,12,1832,200,0,0.59,89.63,0.66,110854,18439,2006,38,1.89
Samoa,3,0,3,0,0,0,100,0,196130,15,3,0,0
San Marino,5090,90,4998,2,0,1.77,98.19,1.8,33938,149979,5089,1,0.02
Sao Tome and Principe,2349,37,2297,15,2,1.58,97.79,1.61,219159,10718,2338,11,0.47
Saudi Arabia,454217,7408,436884,9925,1261,1.63,96.18,1.7,34813867,13047,445963,8254,1.85
Senegal,41539,1144,40165,230,45,2.75,96.69,2.85,16743930,2481,41248,291,0.71
Serbia,713207,6890,0,706317,218,0.97,0,8.13730158730159,8737370,81627,711442,1765,0.25
Seychelles,11621,42,10499,1080,0,0.36,90.35,0.4,98340,118172,11145,476,4.27
Sierra Leone,4162,79,3147,936,6,1.9,75.61,2.51,7976985,522,4133,29,0.7
Singapore,62145,33,61557,555,45,0.05,99.05,0.05,5850343,10622,61940,205,0.33
Slovakia,390129,12375,255300,122454,139,3.17,65.44,4.85,5459643,71457,389344,785,0.2
Slovenia,254692,4383,246433,3876,273,1.72,96.76,1.78,2078932,122511,252848,1844,0.73
Solomon Islands,20,0,20,0,0,0,100,0,652858,31,20,0,0
Somalia,14699,771,6891,7037,8,5.25,46.88,11.19,15893219,925,14647,52,0.36
South Africa,1680373,56765,1567635,55973,5360,3.38,93.29,3.62,59308690,28333,1649977,30396,1.84
South Sudan,10688,115,10514,59,0,1.08,98.37,1.09,11193729,955,10688,0,0
Spain,3693012,80049,150376,3462587,5250,2.17,4.07,53.23,93691843,39417,3663176,29836,0.81
Sri Lanka,195844,1608,162397,31839,3297,0.82,82.92,0.99,21413250,9146,174861,20983,12
Sudan,35656,2662,29364,3630,119,7.47,82.35,9.07,43849269,813,34889,767,2.2
Suriname,15676,325,12137,3214,248,2.07,77.42,2.68,586634,26722,14012,1664,11.88
Sweden,1076993,14512,0,1062481,8520,1.35,0,8.13730158730159,20426859,52724,1068473,8520,0.8
Switzerland,696801,10828,317600,368373,588,1.55,45.58,3.41,8654618,80512,692111,4690,0.68
Syria,24591,1782,21620,1189,32,7.25,87.92,8.24,17500657,1405,24365,226,0.93
Taiwan*,9974,166,1133,8675,585,1.66,11.36,14.65,23806638,419,6761,3213,47.52
Tajikistan,13308,90,13218,0,0,0.68,99.32,0.68,9537642,1395,13308,0,0
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9,509,0,0
Thailand,169348,1146,26873,141329,3886,0.68,15.87,4.26,69799978,2426,143280,26068,18.19
Timor-Leste,7422,16,4826,2580,112,0.22,65.02,0.33,1318442,5629,6459,963,14.91
Togo,13513,125,13105,283,17,0.93,96.98,0.95,8278737,1632,13420,93,0.69
Trinidad and Tobago,25272,537,14918,9817,546,2.12,59.03,3.6,1399491,18058,21987,3285,14.94
Tunisia,350487,12839,307778,29870,1576,3.66,87.81,4.17,11818618,29655,340250,10237,3.01
Turkey,5270299,47882,5139993,82424,6602,0.91,97.53,0.93,84339067,62489,5220549,49750,0.95
US,33326437,596434,0,32730003,19074,1.79,0,8.13730158730159,330541757,100824,33221141,105296,0.32
Uganda,49759,365,46150,3244,1083,0.73,92.75,0.79,45741000,1088,44594,5165,11.58
Ukraine,2268209,53015,2126613,88581,2707,2.34,93.76,2.49,89634808,25305,2251242,16967,0.75
United Arab Emirates,576947,1689,556549,18709,1989,0.29,96.46,0.3,9890400,58334,563215,13732,2.44
United Kingdom,4515778,128075,15517,4372186,5181,2.84,0.34,825.39,134862019,33484,4489552,26226,0.58
Uruguay,304411,4460,263733,36218,2887,1.47,86.64,1.69,3473727,87632,280372,24039,8.57
Uzbekistan,100997,693,96889,3415,271,0.69,95.93,0.72,33469199,3018,99344,1653,1.66
Vanuatu,4,1,3,0,0,25,75,33.33,292680,14,4,0,0
Venezuela,238013,2689,218956,16368,1258,1.13,91.99,1.23,28435943,8370,228828,9185,4.01
Vietnam,8063,49,3085,4929,193,0.61,38.26,1.59,97338583,83,6356,1707,26.86
West Bank and Gaza,309333,3509,301443,4381,297,1.13,97.45,1.16,4543126,68088,306795,2538,0.83
Yemen,6767,1325,3484,1958,8,19.58,51.49,38.03,29825968,227,6696,71,1.06
Zambia,97388,1288,92320,3780,825,1.32,94.8,1.4,18383956,5297,93947,3441,3.66
Zimbabwe,39092,1604,36680,808,61,4.1,93.83,4.37,14862927,2630,38854,238,0.61
